en	4536261	75232770	16.58475339051258
ja	736986	32442442	44.0204318670911
de	699709	2334308	3.336112583945612
ru	626081	28174084	45.000701187226575
es	578399	5046703	8.725296897124649
fr	433549	1583768	3.65303114526847
zh	387543	57353746	147.99324462059695
pt	277348	3575921	12.893264058150772
it	264958	1571370	5.930638063391179
pl	179608	2164347	12.05039307825932
tr	165125	5212404	31.56641332323997
nl	160106	1420441	8.871878630407355
sv	137998	1084596	7.859505210220438
cs	119044	1478546	12.42016397298478
ko	114269	5535449	48.44226343102679
id	113950	554373	4.865054848617815
fa	103136	10442149	101.24640280794291
ar	88744	11954579	134.70858874966194
vi	77872	699390	8.981276967331004
uk	76098	1659091	21.802031590843388
fi	63232	467623	7.395353618421052
hu	62184	930697	14.966824263476136
he	59064	7530362	127.49495462549099
sk	50817	411428	8.096266997264696
no	50324	392193	7.793359033463159
th	45621	1656535	36.310799850945834
sh	43306	482008	11.130282177989193
ca	39705	675289	17.007656466439997
ro	39595	682079	17.226392221240054
da	39098	1332571	34.08284311217965
kk	36297	90965	2.5061299831942034
simple	31641	504839	15.95521633323852
ms	29775	435332	14.620722082283795
uz	29522	127026	4.302757265767902
sr	27841	278131	9.989978808232463
bg	26191	1945648	74.28689244396931
eu	24906	469845	18.8647313900265
el	23930	1267435	52.96427078980359
sl	23809	290816	12.214540719895838
be	23445	109468	4.6691405416933245
hr	22540	337766	14.985181898846495
et	21350	1655520	77.54192037470726
eo	19743	22671	1.1483057286126728
lt	19602	726086	37.04142434445465
war	18406	48220	2.619797891991742
hy	16369	63672	3.8897916793939764
gl	15965	190157	11.910867522705919
be-tarask	15297	444652	29.067921814734916
lv	12894	455329	35.313246471226925
hi	12612	624410	49.50919758959721
nn	12159	30286	2.490829837980097
ka	12116	196615	16.227715417629582
tl	12105	135331	11.179760429574555
ta	11483	1138371	99.13533048854829
la	11184	41982	3.753755364806867
cy	10821	139005	12.845855281397283
ceb	10662	11407	1.0698743200150065
mk	10228	176912	17.29683222526398
az	10178	124553	12.23747298093928
bs	10152	148348	14.612687155240346
zh-yue	9681	1012441	104.58020865613057
af	9376	92201	9.833724402730375
bn	8122	93363	11.495075104654026
ur	8116	611382	75.3304583538689
sq	7969	397210	49.844397038524285
ga	7266	8586	1.1816680429397193
sco	7195	8121	1.128700486448923
oc	6716	7634	1.1366885050625373
vo	6650	7353	1.1057142857142856
is	6561	325152	49.55829903978052
ml	6311	461777	73.1701790524481
br	5896	66424	11.265943012211668
mr	5678	216598	38.14688270517788
ce	5441	5731	1.053299025914354
te	4920	171789	34.916463414634144
lb	4798	33306	6.941642350979575
zh-min-nan	4676	5261	1.1251069289991447
ast	4670	5271	1.128693790149893
jv	4542	5828	1.2831351827388815
als	4346	39314	9.04601932811781
su	4310	5789	1.3431554524361948
an	4273	5048	1.1813714018254153
tt	4042	4657	1.1521523998020782
pms	3707	4137	1.1159967628810359
arz	3485	191772	55.027833572453375
or	3475	4057	1.1674820143884892
ckb	3423	4329	1.2646801051709027
sw	3359	4128	1.2289371836856207
mn	3186	4338	1.3615819209039548
ky	3000	3489	1.163
io	2915	3537	1.2133790737564323
tg	2896	3341	1.153660220994475
fy	2789	3317	1.1893151667264252
ba	2749	3587	1.3048381229538013
pnb	2601	3034	1.166474432910419
bar	2553	3026	1.1852722287504895
pa	2515	3214	1.2779324055666004
si	2490	23074	9.266666666666667
yo	2479	2986	1.2045179507866075
qu	2373	2818	1.187526337968816
cv	2332	2628	1.1269296740994854
scn	2325	2738	1.1776344086021506
nds	2250	2737	1.2164444444444444
kn	2250	3133	1.3924444444444444
mg	2242	92273	41.15655664585192
mrj	2153	2417	1.1226196005573619
sah	2119	2479	1.1698914582350166
lmo	2091	2449	1.1712099473935915
ne	2083	29755	14.28468554968795
hsb	2036	2298	1.1286836935166995
yi	2000	2455	1.2275
gag	1974	2256	1.1428571428571428
ia	1968	2374	1.20630081300813
ku	1908	2276	1.1928721174004193
gu	1905	165505	86.87926509186352
new	1885	2212	1.1734748010610079
os	1842	2374	1.288816503800217
ss	1822	1874	1.0285400658616906
km	1787	2326	1.301622831561276
fo	1770	2188	1.2361581920903955
ilo	1742	2132	1.2238805970149254
gd	1676	32674	19.49522673031026
my	1665	2120	1.2732732732732732
bpy	1608	1866	1.1604477611940298
ht	1605	1978	1.232398753894081
ps	1540	1795	1.1655844155844155
li	1532	1883	1.2291122715404699
vec	1510	1828	1.2105960264900661
map-bms	1508	2169	1.4383289124668435
bxr	1463	1728	1.1811346548188653
wuu	1444	3412	2.3628808864265927
hif	1417	1716	1.2110091743119267
mi	1411	1648	1.1679659815733523
nah	1364	1568	1.1495601173020529
diq	1315	1735	1.3193916349809887
min	1298	1641	1.2642526964560863
nap	1247	1493	1.1972734562951082
sa	1245	1531	1.229718875502008
xmf	1218	1403	1.151888341543514
wa	1207	1481	1.2270091135045567
pam	1187	1391	1.1718618365627633
av	1147	1265	1.102877070619006
tk	1137	1369	1.2040457343887423
zh-classical	1133	1432	1.2639011473962931
ang	1132	1436	1.2685512367491165
gv	1098	1350	1.2295081967213115
bh	1060	1342	1.2660377358490567
se	1056	1427	1.3513257575757576
bcl	1038	1265	1.21868978805395
gan	1036	1319	1.2731660231660231
am	1018	1350	1.3261296660117878
nds-nl	1012	1248	1.233201581027668
vls	1008	1237	1.2271825396825398
bat-smg	1007	1343	1.3336643495531282
gn	990	1193	1.2050505050505051
fiu-vro	965	1231	1.2756476683937823
hak	961	1188	1.2362122788761707
mt	959	1199	1.2502606882168925
rue	949	1135	1.195995785036881
